Date,FX
2013-03-01,1.5034115878
2013-03-04,1.5054398147999999
2013-03-05,1.5159339381
2013-03-06,1.5079824155000001
2013-03-07,1.5040462428
2013-03-08,1.5028702641
2013-03-11,1.4878342016
2013-03-12,1.4895583704
2013-03-13,1.4958515787
2013-03-14,1.4943975972999999
2013-03-15,1.5145833333
2013-03-18,1.5100443822
2013-03-19,1.5124145586000002
2013-03-20,1.5136810103
2013-03-21,1.515880937
2013-03-22,1.5182926828999999
2013-03-25,1.5189055894999999
2013-03-26,1.5148409894
2013-03-27,1.5107377388999998
2013-03-28,1.5143093661000002
2013-04-01,1.5143093661000002
2013-04-02,1.5161176053999998
2013-04-03,1.5120226308000002
2013-04-04,1.5125376128
2013-04-05,1.5244376399000001
2013-04-08,1.530407192
2013-04-09,1.5309656588999998
2013-04-10,1.5308844174
2013-04-11,1.5397887324000001
2013-04-12,1.5360715547
2013-04-15,1.5337085239
2013-04-16,1.5321507761000002
2013-04-17,1.5243236966999998
2013-04-18,1.5260879738
2013-04-19,1.5349953184
2013-04-22,1.5224804391
2013-04-23,1.5252744672
2013-04-24,1.5256304985
2013-04-25,1.5464648853
2013-04-26,1.5475
2013-04-29,1.5536729858000002
2013-04-30,1.5482648347999999
2013-05-01,1.5482648347999999
2013-05-02,1.5581148122
2013-05-03,1.5554501244999999
2013-05-06,1.5546198553
2013-05-07,1.5525941719999998
2013-05-08,1.5509505254
2013-05-09,1.5564635518
2013-05-10,1.5383157644999998
2013-05-13,1.5369032105000002
2013-05-14,1.5300359606
2013-05-15,1.5198487713
2013-05-16,1.5245416913
2013-05-17,1.5234092927
2013-05-20,1.5199858088999998
2013-05-21,1.5152514427000001
2013-05-22,1.5102255463
2013-05-23,1.5071040168
2013-05-24,1.5098897252
2013-05-28,1.5126856074000001
2013-05-29,1.5114067331999999
2013-05-30,1.5126796775
2013-05-31,1.5235752358
2013-06-03,1.5271190419999998
2013-06-04,1.5297966815000001
2013-06-05,1.5353974502
2013-06-06,1.5449299258000002
2013-06-07,1.5576177611000002
2013-06-10,1.5532690499000001
2013-06-11,1.5543974703999999
2013-06-12,1.5652225169
2013-06-13,1.5673925838999998
2013-06-14,1.5623018203
2013-06-17,1.5735944782
2013-06-18,1.56201822
2013-06-19,1.5664874971
2013-06-20,1.5447630193000002
2013-06-21,1.5445915856
2013-06-24,1.5374493333
2013-06-25,1.5477256658
2013-06-26,1.5354869135
2013-06-27,1.5276052045
2013-06-28,1.5258982734
2013-07-01,1.5225693431
2013-07-02,1.5173097098
2013-07-03,1.5260244936000005
2013-07-05,1.49706583
2013-07-08,1.4914113278
2013-07-09,1.4863583815
2013-07-10,1.4895373169
2013-07-11,1.5116467725
2013-07-12,1.5108380665
2013-07-15,1.5047993524
2013-07-16,1.5090302541999998
2013-07-17,1.5218675781
2013-07-18,1.5208502730000002
2013-07-19,1.5260189546
2013-07-22,1.5327124562999999
2013-07-23,1.5333604793
2013-07-24,1.5355900765000001
2013-07-25,1.5285400023
2013-07-26,1.5399802566999998
2013-07-29,1.5369469538999998
2013-07-30,1.5315616533
2013-07-31,1.5197481397
2013-08-01,1.5227795674000002
2013-08-02,1.5152349802
2013-08-05,1.5339311541999998
2013-08-06,1.5339301184
2013-08-07,1.5479029725
2013-08-08,1.5498839907
2013-08-09,1.5525628374
2013-08-12,1.5467039366
2013-08-13,1.5461578733
2013-08-14,1.5499765918000001
2013-08-15,1.5583030587
2013-08-16,1.5634339291
2013-08-19,1.5645444953
2013-08-20,1.5664990057
2013-08-21,1.5691423882
2013-08-22,1.5581544938999998
2013-08-23,1.5545338144999998
2013-08-26,1.5563191613
2013-08-27,1.5493088628
2013-08-28,1.546223355
2013-08-29,1.5517604398
2013-08-30,1.549856549
2013-09-03,1.5545851528
2013-09-04,1.5609149087
2013-09-05,1.565887795
2013-09-06,1.5578384797999998
2013-09-09,1.5682871746
2013-09-10,1.5690922019
2013-09-11,1.5768956501
2013-09-12,1.5802615933000002
2013-09-13,1.5829265388999998
2013-09-16,1.5929636255000001
2013-09-17,1.59056806
2013-09-18,1.5975113663999998
2013-09-19,1.6086698337
2013-09-20,1.6019440493000001
2013-09-23,1.6058966891
2013-09-24,1.5957409009
2013-09-25,1.6044674152
2013-09-26,1.6035875505000001
2013-09-27,1.611547619
2013-09-30,1.6153340111
2013-10-01,1.6242061114
2013-10-02,1.6203093154
2013-10-03,1.6194901119999998
2013-10-04,1.6050301098
2013-10-07,1.6086286595
2013-10-08,1.6111078146000002
2013-10-09,1.5967627599
2013-10-10,1.5955665605
2013-10-11,1.5978798587
2013-10-14,1.5989626311000005
2013-10-15,1.5942576947999998
2013-10-16,1.6031445797
2013-10-17,1.61184521
2013-10-18,1.6191208661
2013-10-21,1.6145304194
2013-10-22,1.6132609722
2013-10-23,1.6148426490999999
2013-10-24,1.617078599
2013-10-25,1.6172085926
2013-10-28,1.6151863136000002
2013-10-29,1.6070970001
2013-10-30,1.6070802664
2013-10-31,1.6044460127000002
2013-11-01,1.5956755479
2013-11-04,1.5972090822999998
2013-11-05,1.6058550518
2013-11-06,1.6085921694999998
