StartF,EndF,StartS,EndS,StartH,EndH,Winners,Losers
2016-04-01,2017-03-31,2016-11-01,2017-04-28,2017-05-01,2017-05-31,"['KOL', 'PSI', 'SLX', 'XME']","['PXJ', 'PBJ', 'PJP', 'TAN']"
2016-05-02,2017-04-28,2016-12-01,2017-05-31,2017-06-01,2017-06-30,"['PSI', 'KOL', 'SOCL', 'IAI']","['GDXJ', 'GDX', 'PXJ', 'TAN']"
2016-06-01,2017-05-31,2017-01-03,2017-06-30,2017-07-03,2017-07-31,"['PSI', 'KOL', 'SLX', 'SOCL']","['PJP', 'TAN', 'FRAK', 'PXJ']"
2016-07-01,2017-06-30,2017-02-01,2017-07-31,2017-08-01,2017-08-31,"['PSI', 'KBWB', 'IAI', 'KOL']","['FRAK', 'GDXJ', 'GDX', 'PXJ']"
2016-08-01,2017-07-31,2017-03-01,2017-08-31,2017-09-01,2017-09-29,"['PSI', 'KBWB', 'IAI', 'KOL']","['FRAK', 'PXJ', 'GDX', 'GDXJ']"
2016-09-01,2017-08-31,2017-04-03,2017-09-29,2017-10-02,2017-10-31,"['KOL', 'SLX', 'PSI', 'ROBO']","['PXE', 'GDXJ', 'PXJ', 'FRAK']"
2016-10-03,2017-09-29,2017-05-01,2017-10-31,2017-11-01,2017-11-30,"['PSI', 'KBWB', 'IAI', 'SLX']","['GDX', 'PXJ', 'FRAK', 'GDXJ']"
2016-11-01,2017-10-31,2017-06-01,2017-11-30,2017-12-01,2017-12-29,"['PSI', 'ROBO', 'IAI', 'PSJ']","['GDX', 'FRAK', 'PXJ', 'GDXJ']"
2016-12-01,2017-11-30,2017-07-03,2017-12-29,2018-01-02,2018-01-31,"['PSI', 'TAN', 'ROBO', 'SOCL']","['GDXJ', 'PXE', 'FRAK', 'PXJ']"
2017-01-03,2017-12-29,2017-08-01,2018-01-31,2018-02-01,2018-02-28,"['SOCL', 'TAN', 'ROBO', 'BJK']","['PBJ', 'PXE', 'FRAK', 'PXJ']"
2017-02-01,2018-01-31,2017-09-01,2018-02-28,2018-03-01,2018-03-29,"['SOCL', 'TAN', 'ROBO', 'PNQI']","['GDX', 'FRAK', 'GDXJ', 'PXJ']"
2017-03-01,2018-02-28,2017-10-02,2018-03-29,2018-04-02,2018-04-30,"['SOCL', 'PNQI', 'PSJ', 'ROBO']","['PXE', 'FRAK', 'GDXJ', 'PXJ']"
2017-04-03,2018-03-29,2017-11-01,2018-04-30,2018-05-01,2018-05-31,"['TAN', 'SOCL', 'PSJ', 'PNQI']","['GDX', 'FRAK', 'GDXJ', 'PXJ']"
2017-05-01,2018-04-30,2017-12-01,2018-05-31,2018-06-01,2018-06-29,"['TAN', 'PSJ', 'IAI', 'SLX']","['GDX', 'PJP', 'PBJ', 'PXJ']"
2017-06-01,2018-05-31,2018-01-02,2018-06-29,2018-07-02,2018-07-31,"['TAN', 'PXE', 'KOL', 'PSJ']","['NLR', 'GDX', 'GII', 'PBJ']"
2017-07-03,2018-06-29,2018-02-01,2018-07-31,2018-08-01,2018-08-31,"['PXE', 'PSJ', 'PNQI', 'SKYY']","['GDXJ', 'GII', 'PBD', 'FAN']"
2017-08-01,2018-07-31,2018-03-01,2018-08-31,2018-09-04,2018-09-28,"['PXE', 'PSJ', 'SKYY', 'IHI']","['PBD', 'GII', 'GDXJ', 'GDX']"
2017-09-01,2018-08-31,2018-04-02,2018-09-28,2018-10-01,2018-10-31,"['PXE', 'PSJ', 'SKYY', 'IHF']","['CARZ', 'GII', 'GDXJ', 'GDX']"
2017-10-02,2018-09-28,2018-05-01,2018-10-31,2018-11-01,2018-11-30,"['PSJ', 'IHI', 'SKYY', 'IHF']","['PBD', 'CARZ', 'GDXJ', 'GDX']"
2017-11-01,2018-10-31,2018-06-01,2018-11-30,2018-12-03,2018-12-31,"['IHF', 'IHI', 'SKYY', 'PSJ']","['BJK', 'CARZ', 'XHB', 'TAN']"
2017-12-01,2018-11-30,2018-07-02,2018-12-31,2019-01-02,2019-01-31,"['IHF', 'PSJ', 'IHI', 'PBE']","['BJK', 'CARZ', 'PXJ', 'XHB']"
2018-01-02,2018-12-31,2018-08-01,2019-01-31,2019-02-01,2019-02-28,"['PSJ', 'IHI', 'IHF', 'SKYY']","['TAN', 'XME', 'FRAK', 'PXJ']"
2018-02-01,2019-01-31,2018-09-04,2019-02-28,2019-03-01,2019-03-29,"['PSJ', 'IHI', 'IHF', 'PXQ']","['CARZ', 'BJK', 'FRAK', 'PXJ']"
2018-03-01,2019-02-28,2018-10-01,2019-03-29,2019-04-01,2019-04-30,"['PSJ', 'IHI', 'PXQ', 'SKYY']","['XME', 'CARZ', 'BJK', 'PXJ']"
2018-04-02,2019-03-29,2018-11-01,2019-04-30,2019-05-01,2019-05-31,"['PSJ', 'IHI', 'SKYY', 'PXQ']","['FRAK', 'PXJ', 'BJK', 'CARZ']"
2018-05-01,2019-04-30,2018-12-03,2019-05-31,2019-06-03,2019-06-28,"['PSJ', 'PXQ', 'SKYY', 'PBS']","['XME', 'FRAK', 'PXE', 'PXJ']"
2018-06-01,2019-05-31,2019-01-02,2019-06-28,2019-07-01,2019-07-31,"['PSJ', 'KBWP', 'IHI', 'GII']","['FRAK', 'XME', 'PXE', 'PXJ']"
2018-07-02,2019-06-28,2019-02-01,2019-07-31,2019-08-01,2019-08-30,"['PSJ', 'TAN', 'KBWP', 'IHI']","['XME', 'FRAK', 'PXE', 'PXJ']"
2018-08-01,2019-07-31,2019-03-01,2019-08-30,2019-09-03,2019-09-30,"['TAN', 'PSJ', 'GDX', 'GDXJ']","['XME', 'FRAK', 'PXE', 'PXJ']"
2018-09-04,2019-08-30,2019-04-01,2019-09-30,2019-10-01,2019-10-31,"['GDX', 'GDXJ', 'TAN', 'PPA']","['KOL', 'FRAK', 'PXE', 'PXJ']"
2018-10-01,2019-09-30,2019-05-01,2019-10-31,2019-11-01,2019-11-29,"['GDX', 'TAN', 'GDXJ', 'KBWP']","['KOL', 'FRAK', 'PXE', 'PXJ']"
2018-11-01,2019-10-31,2019-06-03,2019-11-29,2019-12-02,2019-12-31,"['TAN', 'GDX', 'GDXJ', 'XHB']","['KOL', 'FRAK', 'PXE', 'PXJ']"
2018-12-03,2019-11-29,2019-07-01,2019-12-31,2020-01-02,2020-01-31,"['GDXJ', 'GDX', 'TAN', 'XHB']","['KOL', 'FRAK', 'PXE', 'PXJ']"
2019-01-02,2019-12-31,2019-08-01,2020-01-31,2020-02-03,2020-02-28,"['TAN', 'PSI', 'GRID', 'PBD']","['NLR', 'PXE', 'PXJ', 'KOL']"
2019-02-01,2020-01-31,2019-09-03,2020-02-28,2020-03-02,2020-03-31,"['TAN', 'PSI', 'XHB', 'GDX']","['FRAK', 'PXE', 'KOL', 'PXJ']"
